   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 11112912   29.897    0.000   91.007    0.000 D:\LibraryOfBabel\Projects\AmazonMLChallenge\Experiments\freq_match_2.py:15(score_individual_group)
175069584   25.791    0.000   61.110    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\probability.py:471(__iter__)
  8559333   12.380    0.000   12.380    0.000 {built-in method builtins.sorted}
 11112912    9.223    0.000   31.877    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\collections\__init__.py:600(most_common)
 11112912    6.631    0.000   21.398    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\heapq.py:521(nlargest)
     6000    4.399    0.001   97.140    0.016 D:\LibraryOfBabel\Projects\AmazonMLChallenge\Experiments\freq_match_2.py:29(score_individual_column_all_groups)
     2000    3.642    0.002  104.888    0.052 D:\LibraryOfBabel\Projects\AmazonMLChallenge\Experiments\freq_match_2.py:43(get_label_for_row)
  4122000    2.392    0.000    2.392    0.000 D:\LibraryOfBabel\Projects\AmazonMLChallenge\Experiments\freq_match_2.py:64(<listcomp>)
 11112912    2.293    0.000    3.442    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\probability.py:151(B)
19884074/19864007    2.013    0.000    2.034    0.000 {built-in method builtins.len}
 15240308    1.631    0.000    1.631    0.000 {method 'items' of 'dict' objects}
  2553589    1.247    0.000    1.247    0.000 {built-in method builtins.max}
  4122000    0.704    0.000    0.704    0.000 {built-in method builtins.sum}
   167259    0.569    0.000    0.681    0.000 {method 'sub' of 're.Pattern' objects}
     6000    0.409    0.000    0.409    0.000 {method 'union' of 'set' objects}
  2558985    0.323    0.000    0.323    0.000 {built-in method builtins.iter}
     1202    0.234    0.000    0.234    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.207    0.207  106.876  106.876 D:\LibraryOfBabel\Projects\AmazonMLChallenge\Experiments\freq_match_2.py:87(test_predictions)
   318321    0.114    0.000    0.165    0.000 {built-in method builtins.isinstance}
   151060    0.110    0.000    0.110    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\re.py:325(_subx)
     1202    0.106    0.000    0.106    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    10787    0.096    0.000    0.120    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\punkt.py:1330(_slices_from_text)
     8000    0.093    0.000    0.136    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\numpy\core\numerictypes.py:575(_can_coerce_all)
     5395    0.086    0.000    0.780    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\tokenize\destructive.py:106(tokenize)
     4000    0.082    0.000    0.529    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
     4000    0.070    0.000    0.569    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:315(__init__)
    97358    0.056    0.000    0.056    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\probability.py:123(__setitem__)
     4000    0.054    0.000    0.353    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\dtypes\cast.py:1790(find_common_type)
     8000    0.053    0.000    0.215    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:1034(_get_value)
     5394    0.052    0.000    0.210    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:203(normalize_resource_name)
    10787    0.045    0.000    0.112    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\ntpath.py:61(isabs)
     8000    0.045    0.000    0.285    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\series.py:928(__getitem__)
     5394    0.042    0.000    0.046    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:120(split_resource_url)
     5392    0.042    0.000    0.098    0.000 {built-in method _collections._count_elements}
    16184    0.040    0.000    0.050    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\ntpath.py:124(splitdrive)
     5393    0.039    0.000    0.379    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\nltk\data.py:147(normalize_resource_url)
     4000    0.039    0.000    1.165    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\frame.py:3366(_ixs)
     8000    0.038    0.000    0.038    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     4000    0.036    0.000    0.129    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
    76000    0.036    0.000    0.036    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\numpy\core\numerictypes.py:584(<listcomp>)
     4000    0.036    0.000    1.316    0.000 D:\LibraryOfBabel\Environments\amazon_ml_challenge3.9\lib\site-packages\pandas\core\indexing.py:1535(_getitem_axis)
     5395    0.032    0.000    0.058    0.000 D:\BoxOfPandora\Installations\Python3.9\lib\ntpath.py:450(normpath)
